Crime_ID,Crime_Type,City,Area,Latitude,Longitude,Date,Victim_Age,Suspect_Age,Status
104,Robbery,Mangaluru,Ramesh Street,12.966258,78.330557,2026-06-22,45,39,Under Investigation
105,Kidnapping,Shivamogga,Bahri Zila,13.996763,75.670951,2026-03-15,50,29,Closed
106,Theft,Hubballi,Kala Chowk,16.157476,75.487702,2026-07-13,70,50,Open
107,Cyber Crime,Hubballi,Vohra,14.329357,77.164259,2025-11-04,27,31,Open
108,Kidnapping,Bengaluru,Bora Chowk,13.778926,74.602675,2026-04-21,67,33,Open
109,Murder,Mysuru,Agarwal,12.355595,75.208388,2026-07-13,64,29,Closed
110,Robbery,Mangaluru,Jhaveri Marg,16.419589,75.162626,2026-04-04,30,45,Closed
111,Kidnapping,Bengaluru,Gopal Zila,13.694145,75.418889,2025-12-17,58,43,Under Investigation
112,Fraud,Mysuru,Narang Zila,17.737716,77.512703,2025-12-27,58,48,Under Investigation
113,Drug Trafficking,Mangaluru,Palla Ganj,14.824657,75.220655,2026-03-15,38,49,Open
114,Kidnapping,Belagavi,Buch,17.205572,75.370353,2025-08-02,59,55,Open
115,Theft,Mysuru,Jayaraman Marg,12.715586,75.687338,2026-03-05,67,57,Under Investigation
116,Murder,Bengaluru,Dhaliwal Zila,15.835898,74.975774,2026-02-03,39,27,Under Investigation
117,Assault,Mangaluru,Patla Street,18.2159,77.75509,2025-11-22,59,37,Closed
118,Murder,Mangaluru,Dani Road,14.72682,75.003712,2026-05-25,44,28,Under Investigation
119,Theft,Bengaluru,Shankar Path,14.002193,76.306948,2026-04-03,31,21,Under Investigation
120,Theft,Belagavi,Dixit Ganj,12.208624,74.430635,2026-03-10,64,19,Open
121,Assault,Belagavi,Sunder Street,18.000126,76.208509,2025-09-24,68,40,Closed
122,Murder,Hubballi,Loyal Zila,14.28935,74.970358,2025-10-14,26,31,Open
123,Drug Trafficking,Mysuru,Bala Path,15.966562,74.494989,2026-05-22,66,24,Closed
124,Kidnapping,Belagavi,Vala,14.831084,76.677114,2026-01-06,52,56,Under Investigation
125,Fraud,Bengaluru,Kapadia,16.639858,74.357962,2026-02-09,29,35,Open
126,Murder,Mangaluru,Sidhu Road,12.0958,74.070031,2026-06-07,61,46,Under Investigation
127,Assault,Mysuru,Pau Nagar,13.762447,77.916958,2026-01-06,68,34,Open
128,Cyber Crime,Belagavi,Lad Street,12.851632,75.735824,2026-06-04,25,33,Closed
129,Kidnapping,Mysuru,Tailor Circle,13.788306,76.309652,2026-02-12,22,27,Closed
130,Theft,Belagavi,Bhasin Marg,16.052928,77.455164,2026-04-02,45,36,Closed
131,Robbery,Bengaluru,Sami Marg,15.317682,77.007452,2026-01-19,32,32,Closed
132,Theft,Bengaluru,Madan Path,16.525984,76.784426,2025-11-07,57,37,Under Investigation
133,Fraud,Belagavi,Bir Road,13.918519,77.521529,2025-08-18,23,48,Open
134,Theft,Belagavi,Seshadri Circle,17.094482,77.937017,2025-09-12,20,43,Closed
135,Robbery,Mysuru,Sabharwal Road,18.229867,77.05114,2025-11-13,60,52,Under Investigation
136,Theft,Shivamogga,Bassi Road,13.750968,76.294664,2025-12-21,43,47,Open
137,Theft,Bengaluru,Modi Street,11.878543,75.394168,2025-10-12,45,23,Open
138,Drug Trafficking,Bengaluru,Ratta Circle,12.8783,76.877214,2025-09-17,41,41,Under Investigation
139,Cyber Crime,Hubballi,Gulati Circle,18.447789,76.227949,2026-03-26,31,45,Closed
140,Theft,Mysuru,Radhakrishnan Ganj,17.622947,75.941141,2026-05-15,43,20,Under Investigation
141,Assault,Mysuru,Dada Chowk,12.982136,74.079369,2026-05-02,55,52,Open
142,Cyber Crime,Shivamogga,Sachar Nagar,16.408144,74.821511,2026-03-09,53,20,Closed
143,Murder,Hubballi,Sura Ganj,16.007591,77.461613,2026-02-27,52,44,Open
144,Fraud,Belagavi,Tripathi Street,12.759151,75.354326,2026-05-11,26,40,Under Investigation
145,Kidnapping,Shivamogga,Kannan Path,12.699284,76.433512,2026-03-01,29,51,Closed
146,Theft,Belagavi,Bhargava,14.871992,76.110471,2025-09-29,38,26,Open
147,Fraud,Mysuru,Grewal,13.156091,77.793029,2025-10-22,29,30,Under Investigation
148,Theft,Mangaluru,Grewal Road,13.66167,76.012829,2025-08-19,37,23,Closed
149,Drug Trafficking,Bengaluru,Gupta Chowk,16.210199,75.454939,2025-08-10,50,31,Open
150,Fraud,Mysuru,Parsa Ganj,14.661971,74.779426,2025-09-05,64,55,Under Investigation
151,Theft,Shivamogga,Varkey Street,18.333678,75.385209,2026-01-30,46,36,Open
152,Fraud,Mysuru,Shanker Ganj,14.745424,74.220509,2026-07-21,65,30,Closed
153,Assault,Mysuru,Rao Zila,15.301801,76.733571,2026-04-19,53,45,Closed
154,Assault,Hubballi,Trivedi Ganj,17.377482,74.656409,2026-01-19,34,30,Open
155,Theft,Bengaluru,Kadakia Circle,15.502263,78.511617,2026-04-20,55,28,Under Investigation
156,Assault,Mangaluru,Mahajan Nagar,13.000305,75.408997,2026-01-24,44,23,Open
157,Assault,Hubballi,Sandhu Zila,15.745486,78.496643,2026-01-22,58,32,Under Investigation
158,Assault,Bengaluru,Kalla Zila,17.835467,75.434,2026-03-08,42,48,Under Investigation
159,Cyber Crime,Hubballi,Deol Street,16.006261,76.25478,2026-06-06,63,58,Open
160,Theft,Mangaluru,Mitra Zila,15.550316,74.721966,2026-04-25,33,34,Closed
161,Drug Trafficking,Mangaluru,Thaker Chowk,12.040847,76.014277,2026-04-10,45,57,Under Investigation
162,Robbery,Mysuru,Mahal Marg,12.944843,75.636743,2025-11-07,32,47,Open
163,Fraud,Bengaluru,Srinivasan Street,13.049367,78.003863,2025-10-28,33,27,Under Investigation
164,Robbery,Hubballi,Mall Ganj,12.185598,74.263274,2025-10-19,66,45,Closed
165,Cyber Crime,Belagavi,Thakur,14.826063,76.861757,2025-07-27,45,37,Open
166,Assault,Hubballi,Bava Ganj,17.666608,75.114819,2025-12-19,52,59,Open
167,Murder,Mysuru,Dhar Path,17.296827,77.869512,2025-09-19,44,33,Open
168,Assault,Hubballi,Choudhary Marg,17.901611,75.4655,2025-10-24,26,24,Closed
169,Robbery,Mysuru,Bora Zila,17.072543,74.276203,2025-09-15,51,37,Closed
170,Drug Trafficking,Hubballi,Vyas Circle,15.675732,76.134923,2025-10-18,22,32,Open
171,Drug Trafficking,Bengaluru,Sarraf Road,12.584997,77.521388,2025-12-06,55,21,Open
172,Assault,Mangaluru,Dara Nagar,14.953066,78.272104,2025-09-09,36,52,Under Investigation
173,Theft,Mysuru,Kalla Street,15.48835,74.33099,2025-09-27,48,60,Open
174,Murder,Hubballi,Sandal Street,12.981324,78.46258,2026-05-06,25,27,Closed
175,Murder,Bengaluru,Ramanathan Street,13.24442,78.572973,2025-10-19,25,34,Open
176,Robbery,Mangaluru,Bera Path,15.392509,75.994091,2026-07-03,27,52,Open
177,Fraud,Mysuru,Baral Circle,17.866468,77.891816,2025-11-03,33,38,Closed
178,Robbery,Mangaluru,Khatri Road,14.44073,78.442534,2026-01-20,65,40,Open
179,Drug Trafficking,Bengaluru,Hari,15.398505,74.039774,2026-02-14,48,45,Open
180,Cyber Crime,Mysuru,Prabhu Circle,12.953862,76.534875,2026-06-15,53,50,Open
181,Theft,Shivamogga,Dugar Chowk,15.220807,77.123099,2025-07-27,61,39,Open
182,Cyber Crime,Mysuru,Gola,15.371941,75.467706,2026-03-03,29,31,Closed
183,Murder,Belagavi,Varkey Nagar,17.209356,74.844896,2026-05-25,60,27,Under Investigation
184,Fraud,Mangaluru,Menon Nagar,18.432212,76.525096,2026-07-01,60,47,Open
185,Kidnapping,Belagavi,Naik Street,16.224709,77.616889,2026-07-11,34,49,Open
186,Robbery,Mysuru,Sachdev Street,16.649765,74.371742,2025-11-15,46,18,Under Investigation
187,Cyber Crime,Mangaluru,Virk,12.737604,76.053735,2026-02-11,19,41,Open
188,Theft,Mangaluru,Dayal Nagar,15.67561,74.403212,2025-08-22,19,54,Open
189,Cyber Crime,Hubballi,Das Road,13.421532,74.463001,2025-09-04,34,24,Open
190,Theft,Shivamogga,Dayal Ganj,16.641278,75.091199,2025-10-07,62,54,Closed
191,Murder,Belagavi,Mohan Zila,14.442666,78.296122,2026-01-05,41,50,Open
192,Robbery,Belagavi,Khatri Chowk,17.594944,77.281084,2025-09-07,60,58,Under Investigation
193,Murder,Hubballi,Kar Street,18.371289,78.056191,2026-05-17,55,52,Closed
194,Assault,Bengaluru,Agrawal Marg,12.743384,75.53735,2026-04-10,60,22,Closed
195,Robbery,Mangaluru,Arya Circle,16.766443,75.309653,2026-07-18,64,59,Closed
196,Kidnapping,Mangaluru,Pai Zila,12.613368,76.573328,2026-01-29,54,41,Closed
197,Drug Trafficking,Mangaluru,Munshi Chowk,14.582209,74.984131,2026-02-20,57,27,Closed
198,Murder,Mangaluru,Borra Circle,12.855129,76.481377,2025-10-31,44,19,Closed
199,Drug Trafficking,Bengaluru,Bandi,15.131358,78.488157,2026-02-13,34,41,Closed
200,Fraud,Bengaluru,Deep Ganj,17.815684,77.38961,2025-09-06,61,50,Under Investigation
201,Robbery,Bengaluru,Warrior Nagar,13.898697,74.607236,2026-07-03,53,24,Closed
202,Murder,Mysuru,Kaul Chowk,14.898815,78.232783,2026-06-24,57,60,Closed
203,Fraud,Hubballi,Gara Marg,14.815909,78.037957,2026-06-23,60,56,Open
204,Robbery,Bengaluru,Chadha Nagar,14.641319,77.247201,2025-11-23,32,57,Open
205,Kidnapping,Hubballi,Loyal Chowk,13.702644,74.162777,2025-12-29,56,27,Under Investigation
206,Drug Trafficking,Hubballi,Loke Zila,13.045527,74.761433,2025-12-10,44,55,Open
207,Assault,Bengaluru,Shah,17.685948,76.625137,2026-03-07,19,46,Open
208,Drug Trafficking,Belagavi,Dyal Ganj,15.936544,74.959459,2025-07-30,43,21,Open
209,Cyber Crime,Shivamogga,Krishna Circle,13.53302,74.589609,2025-10-04,43,55,Closed
210,Assault,Mangaluru,Rau Zila,14.871727,77.987244,2026-01-18,70,44,Closed
211,Theft,Shivamogga,Kumer Path,12.81552,77.271688,2025-10-03,63,21,Open
212,Fraud,Shivamogga,Kata Circle,14.04049,76.515216,2026-03-18,46,31,Open
213,Kidnapping,Belagavi,Vyas Nagar,15.774284,77.687281,2026-01-26,66,56,Open
214,Murder,Mangaluru,Natarajan Street,18.289915,74.835759,2025-09-26,27,51,Closed
215,Drug Trafficking,Mysuru,Nath Path,13.825875,78.517626,2026-04-11,22,35,Under Investigation
216,Robbery,Mysuru,Gour Zila,13.229653,78.41486,2025-08-02,42,54,Open
217,Robbery,Mysuru,Virk,15.520894,78.070484,2026-07-07,38,59,Under Investigation
218,Drug Trafficking,Mysuru,Gour Chowk,15.324221,75.417725,2025-09-08,27,48,Closed
219,Murder,Bengaluru,Biswas Ganj,16.088969,76.020573,2026-02-09,54,48,Under Investigation
220,Fraud,Hubballi,Boase,16.62749,77.892608,2026-03-08,32,38,Closed
221,Fraud,Belagavi,Bava Zila,13.858732,76.311319,2026-04-23,63,32,Closed
222,Drug Trafficking,Bengaluru,Memon Zila,15.542691,76.925974,2026-02-04,45,25,Closed
223,Robbery,Hubballi,Kala Path,16.853847,76.633069,2026-06-12,41,48,Open
224,Drug Trafficking,Bengaluru,Parsa Zila,12.893585,78.093211,2025-10-14,42,38,Open
225,Kidnapping,Bengaluru,Saraf Zila,12.392619,75.489806,2026-04-10,28,20,Open
226,Assault,Mysuru,Tandon Road,17.098252,76.685204,2026-07-07,58,58,Under Investigation
227,Murder,Bengaluru,Majumdar Ganj,16.100225,76.283086,2026-03-15,44,28,Under Investigation
228,Murder,Belagavi,Ghosh Chowk,18.327139,74.387184,2026-06-05,49,44,Under Investigation
229,Theft,Mysuru,Mutti Street,18.291207,74.971246,2026-01-10,67,31,Closed
230,Kidnapping,Belagavi,Chanda Street,18.231991,78.513358,2025-09-23,63,38,Under Investigation
231,Fraud,Mysuru,Kothari,15.252062,78.185717,2025-11-07,32,38,Open
232,Cyber Crime,Mangaluru,Pant Street,15.641582,77.566627,2026-03-14,51,55,Under Investigation
233,Murder,Shivamogga,Kashyap Path,15.949489,76.811371,2025-09-16,28,44,Closed
234,Kidnapping,Belagavi,Desai Circle,12.14175,74.075271,2025-09-26,19,31,Under Investigation
235,Theft,Bengaluru,Guha Road,17.430405,75.283987,2026-07-11,70,53,Closed
236,Theft,Mysuru,Menon Street,14.633598,75.139214,2025-11-18,43,49,Open
237,Assault,Mysuru,Bhatnagar,12.429703,74.339173,2025-12-17,54,32,Under Investigation
238,Assault,Mangaluru,Kuruvilla Chowk,14.678912,74.997993,2026-06-01,27,54,Under Investigation
239,Theft,Mangaluru,Pandya Street,14.769137,78.201091,2026-06-29,24,51,Open
240,Kidnapping,Shivamogga,Khurana Path,15.823447,78.243371,2025-12-22,45,42,Closed
241,Theft,Mysuru,Comar Path,14.643973,78.586113,2026-06-25,35,18,Closed
242,Kidnapping,Belagavi,Setty Zila,13.10299,78.542493,2026-07-02,40,26,Closed
243,Theft,Shivamogga,Suresh Road,16.459231,77.238645,2025-12-20,25,20,Open
244,Assault,Belagavi,Thakur Path,16.284304,77.895882,2025-09-23,46,18,Open
245,Robbery,Bengaluru,Ganesh Nagar,13.655601,77.042698,2025-12-31,43,45,Under Investigation
246,Murder,Mangaluru,Sundaram Circle,16.105866,74.793745,2025-11-07,20,45,Under Investigation
247,Murder,Mangaluru,Tank Ganj,18.450259,76.663955,2025-12-28,39,50,Open
248,Robbery,Shivamogga,Parikh Street,15.909965,74.899675,2025-09-11,19,46,Open
249,Theft,Belagavi,Parekh Nagar,14.638632,76.167117,2025-08-26,62,29,Closed
250,Robbery,Bengaluru,Mital Circle,12.516021,78.091092,2026-02-20,64,45,Closed
251,Cyber Crime,Hubballi,Prabhakar Road,16.176229,76.514196,2025-12-29,54,60,Open
252,Assault,Hubballi,Ravi Ganj,14.167532,75.771483,2025-12-06,62,47,Closed
253,Theft,Belagavi,Nanda Zila,13.15664,77.799128,2025-10-05,21,60,Open
254,Fraud,Mysuru,Mittal Path,18.342185,77.887727,2026-01-03,58,37,Closed
255,Cyber Crime,Belagavi,Golla Zila,15.314394,75.886873,2025-11-27,32,32,Closed
256,Murder,Mangaluru,Bhagat Marg,12.802419,74.474348,2025-08-07,34,24,Under Investigation
257,Cyber Crime,Hubballi,Gade Chowk,16.688991,74.038587,2025-11-21,50,32,Under Investigation
258,Kidnapping,Hubballi,Sen Path,12.136687,75.63833,2025-12-18,57,42,Closed
259,Cyber Crime,Belagavi,Kulkarni Nagar,13.919229,78.008638,2026-02-03,62,32,Open
260,Cyber Crime,Belagavi,Wali Zila,15.181351,78.126788,2026-01-14,38,27,Closed
261,Fraud,Hubballi,Sule Circle,14.669607,77.263097,2025-10-15,41,33,Closed
262,Kidnapping,Bengaluru,Buch Street,13.693866,76.456421,2026-07-08,54,44,Open
263,Murder,Mysuru,Bajaj Nagar,16.880086,75.759526,2026-07-01,45,29,Under Investigation
264,Drug Trafficking,Belagavi,Barman Path,18.121204,78.192935,2026-05-14,27,42,Open
265,Fraud,Bengaluru,Sachar Ganj,17.979367,77.65834,2025-09-27,28,23,Open
266,Fraud,Shivamogga,Aurora Marg,17.165107,77.337685,2026-03-03,41,42,Closed
267,Cyber Crime,Bengaluru,Sachdev Path,17.699246,74.094493,2026-05-11,53,37,Closed
268,Fraud,Bengaluru,Kibe Path,18.285487,78.477536,2025-11-26,27,43,Open
269,Robbery,Shivamogga,Nanda Marg,14.237415,74.177237,2026-02-15,48,43,Under Investigation
270,Drug Trafficking,Shivamogga,Gera Zila,15.924778,78.494357,2025-08-24,65,32,Under Investigation
271,Drug Trafficking,Mysuru,Swamy Chowk,16.494094,76.332006,2025-11-29,45,58,Closed
272,Theft,Hubballi,Thaker Street,15.409895,74.529162,2025-10-05,19,44,Under Investigation
273,Assault,Belagavi,Maharaj,18.365761,74.376594,2026-03-31,18,27,Open
274,Fraud,Shivamogga,Kulkarni Ganj,12.716731,77.185768,2026-04-21,29,26,Open
275,Assault,Shivamogga,Mitter Nagar,13.660347,78.41832,2025-08-30,53,24,Open
276,Fraud,Bengaluru,Behl Road,13.533919,75.062528,2025-12-17,44,51,Closed
277,Theft,Belagavi,Rana Circle,12.442588,78.227551,2025-09-03,22,53,Open
278,Theft,Bengaluru,Sarna Road,16.31813,76.556042,2026-05-15,19,47,Closed
279,Cyber Crime,Shivamogga,Devi Chowk,11.88349,76.755052,2025-11-22,56,18,Under Investigation
280,Robbery,Mangaluru,Raju,17.08189,77.611113,2026-01-18,59,45,Closed
281,Fraud,Hubballi,Gill Marg,17.629329,78.379235,2025-08-30,55,46,Under Investigation
282,Robbery,Shivamogga,Sha Road,16.160428,76.925989,2025-09-12,31,51,Closed
283,Fraud,Shivamogga,Mann Path,14.080253,74.954701,2025-10-13,22,29,Under Investigation
284,Cyber Crime,Bengaluru,Kari Nagar,17.200144,77.649824,2026-05-05,19,27,Open
285,Theft,Shivamogga,Dalal Circle,17.321,75.548138,2026-07-08,30,50,Under Investigation
286,Theft,Mangaluru,Nori Road,13.769956,74.359215,2026-07-14,49,36,Under Investigation
287,Assault,Mysuru,Ratta Street,15.293544,78.173947,2026-03-28,27,46,Open
288,Fraud,Mangaluru,Handa Nagar,12.152808,74.83435,2025-12-25,30,20,Closed
289,Cyber Crime,Shivamogga,Doshi Circle,15.831148,75.796124,2026-01-25,33,31,Closed
290,Fraud,Mangaluru,Balasubramanian Nagar,15.98487,75.231476,2026-06-12,22,19,Under Investigation
291,Assault,Mysuru,Yadav Zila,12.726205,78.294063,2026-05-10,66,31,Closed
292,Fraud,Shivamogga,Maharaj Zila,12.040704,74.192956,2025-11-20,36,56,Closed
293,Kidnapping,Mysuru,Chaudhry Chowk,15.564111,77.184632,2026-01-30,36,42,Open
294,Drug Trafficking,Mysuru,Sha,13.983445,74.552406,2025-12-19,68,22,Closed
295,Theft,Hubballi,Nayar Road,15.685193,75.676602,2026-05-20,37,46,Closed
